metric,value
experiment_name,imdb_multiscale_mamba2__seed_42__slow_stride_2
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,3.436255615234375
seconds_train,38.676203125
seconds_train_plus_test,42.11245874023437
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,11152770
model_trainable_params,11152770
train_loss_epoch_1,0.6568868160247803
train_loss_epoch_2,0.3661103844642639
train_loss_epoch_3,0.15032728016376495
test/accuracy,0.8252800107002258
test/f1_macro,0.8232365250587463
test/f1_weighted,0.8232365250587463
test/loss,0.4364362955093384
confusion_matrix_0_0,11660
confusion_matrix_0_1,840
confusion_matrix_1_0,3528
confusion_matrix_1_1,8972
