metric,value
experiment_name,imdb_multiscale_mamba2_attention__seed_42__fusion_concat
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba_attention
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,4.75824755859375
seconds_train,48.278859375
seconds_train_plus_test,53.037106933593755
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,12381538
model_trainable_params,12381538
train_loss_epoch_1,0.6886786222457886
train_loss_epoch_2,0.42511069774627686
train_loss_epoch_3,0.2022390216588974
test/accuracy,0.858240008354187
test/f1_macro,0.8580324053764343
test/f1_weighted,0.8580324053764343
test/loss,0.36943644285202026
confusion_matrix_0_0,10250
confusion_matrix_0_1,2250
confusion_matrix_1_0,1294
confusion_matrix_1_1,11206
