metric,value
experiment_name,imdb_multiscale_mamba_attention__seed_42
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba_attention
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,4.44600732421875
seconds_train,48.5612890625
seconds_train_plus_test,53.00729638671875
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,12250210
model_trainable_params,12250210
train_loss_epoch_1,0.6091275215148926
train_loss_epoch_2,0.3165692389011383
train_loss_epoch_3,0.09666501730680466
test/accuracy,0.8429200053215027
test/f1_macro,0.8416475653648376
test/f1_weighted,0.8416475653648376
test/loss,0.418605238199234
confusion_matrix_0_0,9416
confusion_matrix_0_1,3084
confusion_matrix_1_0,843
confusion_matrix_1_1,11657
