metric,value
experiment_name,imdb_multiscale_mamba_gated__seed_42
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,3.42303515625
seconds_train,36.8233359375
seconds_train_plus_test,40.24637109375
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,11284098
model_trainable_params,11284098
train_loss_epoch_1,0.6057939529418945
train_loss_epoch_2,0.32956963777542114
train_loss_epoch_3,0.11878252774477005
test/accuracy,0.8463199734687805
test/f1_macro,0.8461258411407471
test/f1_weighted,0.8461258411407471
test/loss,0.3899799585342407
confusion_matrix_0_0,10135
confusion_matrix_0_1,2365
confusion_matrix_1_0,1477
confusion_matrix_1_1,11023
