experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,1,train,3.0784009456634522,21.723637331510595,4.441193778176558
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,1,val,2.4775153347557852,11.911631202733137,3.5742990871785314
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,2,train,2.24812814394633,9.469992772009567,3.24336332455428
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,2,val,2.1483180883881787,8.570431559887338,3.0993678523696833
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,3,train,1.9802821238835653,7.244786624205788,2.856943199687884
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,3,val,1.9779770867548159,7.228106353753943,2.853617734053172
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,4,train,1.8041181643803914,6.074612276432539,2.6027923289292905
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,4,val,1.869231553552136,6.483312406177149,2.6967310925828394
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,5,train,1.680268613497416,5.366997425465339,2.4241151960540965
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,5,val,1.7850686038648005,5.959988811824252,2.575309622442333
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,6,train,1.5846535285313925,4.87760113609035,2.2861717871394376
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,6,val,1.7263844248793654,5.620296524494955,2.4906462484414056
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,7,train,1.5200864235560099,4.572620360177939,2.1930211449868957
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,7,val,1.6769145717881109,5.349026446799779,2.419276336713147
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,8,train,1.4693810224533081,4.346543895161458,2.1198687142697423
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,8,val,1.6410838060250625,5.160759744828936,2.3675834686355435
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,9,train,1.4296891291936238,4.177400358231048,2.0626054167005017
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,9,val,1.6137455514141004,5.021584650965322,2.328142704281748
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,10,train,1.3976722955703735,4.045771637358038,2.0164148896072716
tiny_shakespeare_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_1024,1024,10,val,1.588172982270522,4.894797871453344,2.2912492855955175
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,1,train,3.087750228246053,21.92769014300608,4.4546819417943455
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,1,val,2.489897273273344,12.06003716866739,3.5921624484744057
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,2,train,2.264272165298462,9.624117284804088,3.2666542240990064
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,2,val,2.167238424787634,8.734130746550347,3.1266641278651286
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,3,train,2.005640474955241,7.430851647361379,2.8935275670241114
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,3,val,2.001974412262952,7.403659553780129,2.888238556558358
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,4,train,1.8423974672953287,6.311652115828204,2.658017689413357
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,4,val,1.8986513397454625,6.6768835198812,2.739174872227965
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,5,train,1.7250592788060506,5.61285374310006,2.488734466772981
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,5,val,1.8170777258311326,6.153848914577774,2.6214890239663706
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,6,train,1.6344924688339233,5.1268552977599535,2.3580741791570596
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,6,val,1.7645454790062498,5.838917844124595,2.5457010119853574
