model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,1,1,1,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.350058,0.182762,2.323272,2.471992,435733.9962,52.5127,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,16,16,16,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.584275,0.150484,2.562832,2.671926,6339881.3531,263.6885,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,8,8,8,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.369469,0.086653,2.354294,2.523901,3457314.3256,150.5947,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,256,1,1,1,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.338345,0.084617,2.316257,2.535438,109479.1238,42.0508,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,256,16,16,16,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.322845,0.099911,2.29549,2.533014,1763354.8141,96.0479,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,256,8,8,8,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.362437,0.066532,2.353268,2.435463,866901.2922,66.8994,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,512,1,1,1,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.397409,0.185538,2.369614,2.500789,213563.8795,45.5381,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,512,16,16,16,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.381407,0.070597,2.368808,2.522719,3439983.46,151.0947,ok
benchmark_mamba2_lm,benchmark_mamba2_lm,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,512,8,8,8,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.341441,0.134876,2.318466,2.543931,1749350.3651,95.5479,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,1024,1,1,1,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.647315,0.086485,3.626365,3.778823,280754.4514,56.7061,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,1024,16,16,16,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.929417,0.063148,3.916647,4.061526,4169574.7858,267.8818,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,1024,8,8,8,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.817642,0.136827,3.792921,3.989068,2145827.2328,154.7881,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,256,1,1,1,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.593961,0.083925,3.573896,3.770344,71230.6041,46.2441,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,256,16,16,16,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.562001,0.070205,3.551122,3.758827,1149915.5423,100.2412,ok
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,256,8,8,8,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,4.098803,0.942715,3.656007,5.97335,499658.1128,71.999,ok
